Time,Countries,Stocks,Car Brands,Weather,Computer Part
03:37:38,,,,,
03:37:40,,,,,
03:37:42,,,,,
03:37:44,,,,,
03:37:46,,,,,
03:37:48,,,,,
03:37:50,0,,,,
03:37:52,0,,,,
03:37:54,0,,,,
03:37:56,0,,,,
03:37:58,0,,,,
03:38:00,0,,,,
03:38:02,0,,,,
03:38:04,0,,,,
03:38:06,0,,,,
03:38:08,0,,,,
03:38:10,0,,,,
03:38:12,0,,,,
03:38:14,0,,,,
03:38:16,0,,,,
03:38:18,0,,,,
03:38:20,0,,,,
03:38:22,0,,,,
03:38:24,0,,,,
03:38:26,0,,,,
03:38:28,0,,,,
03:38:30,0,-1,,,
03:38:32,0,-1,,,
03:38:34,0,-1,,,
03:38:36,0,-1,,,
03:38:38,0,-1,,,
03:38:40,0,-1,,,
03:38:42,1,-1,,,
03:38:44,1,-1,,,
03:38:46,1,-1,,,
03:38:48,1,-1,,,
03:38:50,1,-1,,,
03:38:52,2,-1,,,
03:38:54,2,-1,,,
03:38:56,2,-1,,,
03:38:58,2,-1,,,
03:39:00,2,-1,,,
03:39:02,2,-1,,,
03:39:04,2,-1,,,
03:39:06,2,-1,,,
03:39:08,2,-1,,,
03:39:10,2,-1,,,
03:39:12,2,-1,,,
03:39:14,2,-1,,,
03:39:16,2,-1,,,
03:39:18,2,-1,,,
03:39:20,2,-1,,,
03:39:22,3,-1,,,
03:39:24,3,-1,,,
03:39:26,3,-1,,,
03:39:28,3,-1,,,
03:39:30,3,-1,,,
03:39:32,3,-1,,,
03:39:34,3,-1,,,
03:39:36,3,-1,,,
03:39:38,3,-1,,,
03:39:40,3,-1,,,
03:39:42,3,-1,,,
03:39:44,3,-1,,,
03:39:46,3,-1,,,
03:39:48,3,-1,,,
03:39:50,3,-1,,,
03:39:52,3,-1,,,
03:39:54,3,-1,,,
03:39:56,3,-1,,,
03:39:58,3,-1,,,
03:40:00,3,-1,,,
03:40:02,3,-1,,,
03:40:04,3,-1,,,
Time,Countries,Stocks,Car Brands,Weather,Computer Part
03:42:40,,,,,
03:42:42,0,,,,
03:42:44,0,,,,
03:42:46,-2,,,,
03:42:48,-2,,,,
03:42:50,-2,,,,
03:42:52,-2,,,,
03:42:54,-2,,,,
03:42:56,-2,,,,
03:42:58,-2,,,,
03:43:00,-2,,,,
03:43:02,-2,,,,
03:43:04,-2,,,,
03:43:06,-2,,,,
03:43:08,-2,,,,
03:43:10,-2,,,,
03:43:12,-2,,,,
03:43:14,-2,,,,
03:43:16,-2,,,,
03:43:18,-2,,,,
03:43:20,-2,,,,
03:43:22,-2,,,,
03:43:24,-2,,,,
03:43:26,-2,,,,
03:43:28,-2,,,,
03:43:30,-2,,,,
03:43:32,-2,,,,
Time,Countries,Stocks,Car Brands,Weather,Computer Part
Time,Countries,Stocks,Car Brands,Weather,Computer Part
03:45:02,,,,,
03:45:04,,,,,
03:45:06,0,,,,
03:45:08,0,,,,
03:45:10,0,,,,
03:45:12,0,,,,
03:45:14,0,,,,
03:45:16,0,,,,
03:45:18,0,,,0,
03:45:20,0,,,0,
03:45:22,0,,,0,
03:45:24,0,,,0,
03:45:26,0,,,0,
03:45:28,0,,,0,
03:45:30,0,,,0,
03:45:32,0,,,0,
03:45:34,0,,,0,
03:45:36,-1,,,0,
03:45:38,-1,,,0,
03:45:40,-1,,,0,
03:45:42,-1,,,0,
03:45:44,-1,,,0,
03:45:46,-1,,,0,
03:45:48,-1,,,0,
03:45:50,-1,,,0,
03:45:52,-1,,,0,
03:45:54,-1,,,0,
03:45:56,-1,,,0,
03:45:58,-1,,,0,
03:46:00,-1,,,0,
03:46:02,-1,,,0,
03:46:04,-1,,,0,
03:46:06,-2,,,0,
03:46:08,-2,,1,0,
03:46:10,-2,,1,0,
03:46:12,-2,,1,0,
03:46:14,-2,,1,0,
03:46:16,-2,,1,0,
03:46:18,-2,,1,0,
03:46:20,-2,,1,0,
03:46:22,-2,,1,0,
03:46:24,-2,,1,0,
03:46:26,-2,,1,0,
03:46:28,-2,,1,0,
03:46:30,-2,,1,0,
03:46:32,-2,,1,0,
03:46:34,-2,,1,0,
03:46:36,-2,,1,0,
03:46:38,-2,,1,0,
03:46:40,-2,,1,0,
03:46:42,-2,,1,0,
03:46:44,-2,,1,0,
03:46:46,-2,,1,0,
03:46:48,-1,,1,0,
03:46:50,-1,,1,0,
03:46:52,-1,,1,0,
03:46:54,-1,,1,0,
03:46:56,-1,,1,0,
03:46:58,-1,,1,0,
03:47:00,-1,,1,0,
03:47:02,-1,,1,0,
03:47:04,-1,,1,0,
03:47:06,-1,,1,0,
03:47:08,-1,,1,0,
03:47:10,-1,,1,0,
03:47:12,-1,,1,0,
03:47:14,-1,,1,0,
03:47:16,-1,,1,0,
03:47:18,-1,,1,0,
03:47:20,-1,,1,0,
03:47:22,-1,,1,0,
03:47:24,-1,,1,0,
03:47:26,-1,,1,0,
03:47:28,-1,,1,0,
03:47:30,0,,1,0,
03:47:32,0,,1,1,
03:47:34,0,,1,1,
03:47:36,0,,1,1,
03:47:38,0,,1,1,
03:47:40,0,,1,1,
03:47:42,0,,1,1,
03:47:44,0,,1,1,
03:47:46,0,,1,1,
03:47:48,0,,1,1,
03:47:50,0,,1,1,
03:47:52,0,,1,1,
03:47:54,0,,1,1,
03:47:56,0,,1,1,
03:47:58,0,,1,1,
03:48:00,0,,1,1,
03:48:02,0,,1,1,
